20250518T082320 | C0 03 01 00 00 1E D4 EF
20250518T082320 | F5 03 00 00 00 0B 11 79
20250518T082320 | F0 03 00 08 00 0C D1 2C
20250518T082320 | 7E FF A0 03 00 08 CD D7
20250518T082321 | 7E FF C1 03 00 08 D2 2B
20250518T082321 | 7E FF 41 03 00 08 FB EB
20250518T082321 | B0 03 00 08 00 44 DF DA
20250518T082321 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082322 | B0 03 01 00 00 58 5E 2D
20250518T082322 | B0 03 00 58 05 70 00 00 00 00 00 00 00 00 00 00 05 2A 00 87 05 2C FF 79 00 62 11 0C 00 F0 00 00 00 02 05 23 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 F0 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF CC 78
20250518T082322 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082322 | C0 03 01 00 00 1E D4 EF
20250518T082323 | F5 03 00 00 00 0B 11 79
20250518T082323 | F0 03 00 08 00 0C D1 2C
20250518T082323 | 7E FF A0 03 00 08 CD D7
20250518T082323 | 7E FF C1 03 00 08 D2 2B
20250518T082324 | 7E FF 41 03 00 08 FB EB
20250518T082324 | B0 03 00 08 00 44 DF DA
20250518T082324 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082324 | B0 03 01 00 00 58 5E 2D
20250518T082324 | B0 03 00 58 05 70 00 00 00 00 00 00 00 00 00 00 05 2A 00 85 05 2C FF 7B 00 62 11 4D 00 F0 00 00 00 02 05 23 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 F0 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 74 24
20250518T082325 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082325 | C0 03 01 00 00 1E D4 EF
20250518T082325 | F5 03 00 00 00 0B 11 79
20250518T082326 | F0 03 00 08 00 0C D1 2C
20250518T082326 | 7E FF A0 03 00 08 CD D7
20250518T082326 | 7E FF C1 03 00 08 D2 2B
20250518T082326 | 7E FF 41 03 00 08 FB EB
20250518T082327 | B0 03 00 08 00 44 DF DA
20250518T082327 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082327 | B0 03 01 00 00 58 5E 2D
20250518T082327 | B0 03 00 58 05 70 00 00 00 00 00 00 00 00 00 00 05 2A 00 84 05 2C FF 7C 00 62 11 6F 00 F0 00 00 00 02 05 23 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 F0 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 72 E4
20250518T082327 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082328 | C0 03 01 00 00 1E D4 EF
20250518T082328 | F5 03 00 00 00 0B 11 79
20250518T082328 | F0 03 00 08 00 0C D1 2C
20250518T082328 | 7E FF A0 03 00 08 CD D7
20250518T082329 | 7E FF C1 03 00 08 D2 2B
20250518T082329 | B0 10 01 0E 00 02 00 01 52 AE B0 10 01 0E 00 02 00 01 52 AE
20250518T082330 | B0 03 00 08 00 44 DF DA
