TS (yyyy-mm-dd hh:mm:ss),BATT V,BATT A,BATT SOC,OUT V,OUT A,SOLAR IN V*,SOLAR IN A,AUX IN V*,AUX IN A,PMDCS IN V,PMDCS OUT V,PMDCS A,FRESH TANK 1,FRESH TANK 2,AC CHARGER CURRENT*,AC CHARGER ACTIVE*,
2025-05-18 08:23:20,,,,,,,,,,,,,,,0,0,
2025-05-18 08:23:22,13.24,-1.35,98,13.22,1.35,13.92,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:23:24,13.24,-1.33,98,13.22,1.33,13.92,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:23:27,13.24,-1.32,98,13.22,1.32,13.92,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:23:30,13.24,-1.32,98,13.22,1.32,13.91,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:23:33,13.24,-1.3,98,13.22,1.3,13.92,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:23:35,13.25,-1.28,98,13.22,1.28,13.92,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:23:38,13.84,30.52,98,14.08,1.33,22.59,0.0,0.01,0.0,,,,100,100,31.85,1,
2025-05-18 08:23:41,13.87,29.89,98,14.11,1.51,22.71,0.0,0.01,0.0,,,,100,100,31.4,1,
2025-05-18 08:23:44,13.89,29.85,98,14.14,1.56,22.74,0.0,0.01,0.0,,,,100,100,31.41,1,
2025-05-18 08:23:46,13.91,29.88,98,14.16,1.59,22.71,0.0,0.01,0.0,,,,100,100,31.47,1,
2025-05-18 08:23:49,13.93,29.88,98,14.19,1.62,22.62,0.0,0.01,0.0,,,,100,100,31.5,1,
2025-05-18 08:23:52,13.58,9.41,98,14.21,1.51,22.98,0.0,0.0,0.0,,,,100,100,10.92,0,
2025-05-18 08:23:54,13.36,-0.83,98,13.34,1.63,19.71,0.8,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:23:57,13.34,-1.16,98,13.32,1.28,15.11,0.0,0.0,0.0,,,,100,100,0.12,0,
2025-05-18 08:24:00,13.33,-1.29,98,13.31,1.29,14.0,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:01,13.32,-1.35,98,13.3,1.35,13.98,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:04,13.31,-1.36,98,13.29,1.36,13.98,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:07,13.31,-1.32,98,13.29,1.32,13.99,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:09,13.31,-1.3,98,13.29,1.3,13.98,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:11,13.3,-1.65,98,13.27,1.57,13.97,0.0,0.0,0.0,,,,100,100,-0.08,0,
2025-05-18 08:24:14,13.29,-1.6,98,13.27,1.59,13.95,0.0,0.0,0.0,,,,100,100,-0.01,0,
2025-05-18 08:24:16,13.3,-1.4,98,13.27,1.4,13.97,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:20,13.3,-1.36,98,13.28,1.36,13.97,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:22,13.29,-1.36,98,13.27,1.36,13.96,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:25,13.29,-1.42,98,13.27,1.42,13.94,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:27,13.28,-1.42,98,13.26,1.42,13.94,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:30,13.28,-1.64,98,13.25,1.66,21.16,0.0,0.0,0.0,,,,100,100,0.02,0,
2025-05-18 08:24:32,13.3,0.0,98,0.0,0.0,18.52,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:35,13.31,0.0,98,0.0,0.0,14.02,0.0,0.0,0.0,,,,100,100,0.0,0,
2025-05-18 08:24:35,13.31,0.0,98,0.0,0.0,14.02,0.0,0.0,0.0,0.01,0.0,0.0,100,100,0.0,0,
2025-05-18 08:24:39,13.31,0.0,98,13.3,0.0,14.01,0.0,0.0,0.0,0.01,0.0,0.0,100,100,0.0,0,
2025-05-18 08:24:42,13.28,-1.36,98,13.26,1.36,13.95,0.0,0.0,0.0,0.01,0.0,0.0,100,100,0.0,0,
2025-05-18 08:24:47,13.28,-1.35,98,13.26,1.35,13.95,0.0,0.0,0.0,0.01,0.0,0.0,100,100,0.0,0,
2025-05-18 08:24:50,13.28,-1.32,98,13.26,1.32,13.95,0.0,0.0,0.0,0.01,0.0,0.0,100,100,0.0,0,
2025-05-18 08:24:53,13.28,-1.3,98,13.26,1.3,13.95,0.0,0.0,0.0,0.01,0.0,0.0,100,100,0.0,0,
2025-05-18 08:24:56,13.28,-1.28,98,13.26,1.28,13.95,0.0,0.0,0.0,0.01,0.0,0.0,100,100,0.0,0,
2025-05-18 08:24:58,13.28,-1.26,98,13.26,1.26,13.95,0.0,0.0,0.0,0.01,0.0,0.0,100,100,0.0,0,
2025-05-18 08:25:01,13.28,-1.26,98,13.26,1.26,13.95,0.0,0.0,0.0,12.03,0.02,0.0,100,100,0.0,0,
2025-05-18 08:25:04,13.27,-1.52,98,13.25,1.24,18.41,0.0,0.0,0.0,12.03,0.02,0.0,100,100,-0.28,0,
2025-05-18 08:25:05,13.27,-1.52,98,13.25,1.24,18.41,0.0,0.0,0.0,14.3,0.04,0.0,100,100,-0.28,0,
2025-05-18 08:25:07,13.28,-0.91,98,13.26,1.5,21.43,0.59,0.01,0.0,14.3,0.04,0.0,100,100,0.0,0,
2025-05-18 08:25:08,13.28,-0.91,98,13.26,1.5,21.43,0.59,0.01,0.0,14.62,0.04,0.0,100,100,0.0,0,
2025-05-18 08:25:11,13.28,-1.17,98,13.25,1.16,14.88,0.0,0.02,0.0,14.62,0.04,0.0,100,100,-0.01,0,
2025-05-18 08:25:11,13.28,-1.17,98,13.25,1.16,14.88,0.0,0.02,0.0,14.59,0.05,0.0,100,100,-0.01,0,
2025-05-18 08:25:14,13.28,-1.2,98,13.25,1.2,13.95,0.0,0.03,0.0,14.59,0.05,0.0,100,100,0.0,0,
2025-05-18 08:25:15,13.28,-1.2,98,13.25,1.2,13.95,0.0,0.03,0.0,14.58,0.06,0.0,100,100,0.0,0,
2025-05-18 08:25:18,13.28,-1.18,98,13.25,1.18,13.95,0.0,0.03,0.0,14.58,0.06,0.0,100,100,0.0,0,
2025-05-18 08:25:18,13.28,-1.18,98,13.25,1.18,13.95,0.0,0.03,0.0,14.57,0.06,0.0,100,100,0.0,0,
2025-05-18 08:25:21,13.27,-1.16,98,13.25,1.16,13.95,0.0,0.04,0.0,14.57,0.06,0.0,100,100,0.0,0,
2025-05-18 08:25:22,13.27,-1.16,98,13.25,1.16,13.95,0.0,0.04,0.0,13.47,0.07,0.0,100,100,0.0,0,
2025-05-18 08:25:25,13.27,-1.19,98,13.25,1.19,13.94,0.0,0.05,0.0,13.47,0.07,0.0,100,100,0.0,0,
2025-05-18 08:25:25,13.27,-1.19,98,13.25,1.19,13.94,0.0,0.05,0.0,12.85,10.38,0.0,100,100,0.0,0,
2025-05-18 08:25:28,13.45,9.25,98,13.43,0.0,14.16,0.0,13.5,0.0,12.85,10.38,0.0,100,100,9.25,0,
